Date,Ticker,Dividend
2025-05-09,WFC,0.4
2025-08-08,WFC,0.45
2025-11-07,WFC,0.45
2026-02-06,WFC,0.45
2025-03-21,WMT,0.235
2025-05-09,WMT,0.235
2025-08-15,WMT,0.235
2025-12-12,WMT,0.235
2026-03-20,WMT,0.248
2025-02-12,XOM,0.99
2025-05-15,XOM,0.99
2025-08-15,XOM,0.99
2025-11-14,XOM,1.03
2026-02-12,XOM,1.03
